itemName,date,price1,price10,price100
Nugget,09-07-2022,189,1761,11995
Nyan,09-07-2022,118990,,
Nyoro,09-07-2022,18950,,
Oaf,09-07-2022,14594,,
Oak Sap,09-07-2022,9986,,
Oak Wood,09-07-2022,489,499,3389
Obscurati Symbol,09-07-2022,19949,118995,
Obscure Shard,09-07-2022,410,9490,
Obsidemon Slag,09-07-2022,9000,88886,
Obsidemon's Hypogeum ...,09-07-2022,26989,275000,
Obsidian,09-07-2022,10990,80000,699993
Octodoll Ink,09-07-2022,2088,17828,
Offering to Celestial Spirits,09-07-2022,7989,99097,
Oilbow Grease,09-07-2022,1990,19996,
Oktapodas Ink,09-07-2022,48,497,10896
Old Hammer Head,09-07-2022,53429,,
Old Kralove Sucker,09-07-2022,597,6298,84998
Old Partition Sheet Music,09-07-2022,380,3111,14093
Oliviolet Sap,09-07-2022,11999,,
Oliviolet Wood,09-07-2022,,7999,
Onabu-Geisha Flower,09-07-2022,1398,13765,199989
Oni Leather,09-07-2022,279980,,
Onion,09-07-2022,100,600,5900
Oogie Betty's Braces,09-07-2022,3355,38996,
Oozing Meat,09-07-2022,,2897,29936
Open-Market Shark,09-07-2022,42500,,
Orange Larva Skin,09-07-2022,63,390,15999
Orange Rabmajoke #1,09-07-2022,399,5000,
Orange Rabmajoke #2,09-07-2022,188,,
Orange Rabmajoke #3,09-07-2022,3776,,
Orange Rabmajoke #4,09-07-2022,462,,
Orange Rabmajoke #5,09-07-2022,276,,
Orange Rabmajoke #6,09-07-2022,479,,
Orange Rabmajoke #7,09-07-2022,1957,,
Orange Rabmajoke #8,09-07-2022,415,,
Orfan Buckle,09-07-2022,1248,15398,
Orfan Mane,09-07-2022,699,7000,79790
Otomai's Ark Key,09-07-2022,39,896,
Ouassingue Hide,09-07-2022,500,7420,54681
Ouassingue Juice,09-07-2022,400,4689,58887
Ouassingue Slobber,09-07-2022,7,199,2792
QOuassingue Stomach,09-07-2022,48,1078,28761
Ougaa,09-07-2022,81000,,
Ougaa Spine,09-07-2022,1398,5398,
Ougaat Fragment,09-07-2022,5998,60000,
Ouginak Chain,09-07-2022,340,3663,26600
Ouginak Hair,09-07-2022,288,2890,12898
Ourobubble Scales,09-07-2022,676,6968,64993
Pair of Cross Strich Balls,09-07-2022,845,9579,
Palm Fruits,09-07-2022,269,2000,54952
Palm Qil,09-07-2022,69,99,
Pampastuc G-String,09-07-2022,1798,17994,
Pandala Haiku: Aerdala,09-07-2022,139998,,
Pandala Haiku: Akwadala,09-07-2022,798945,,
Pandala Haiku: Feudala,09-07-2022,89987,,
Pandala Haiku: Forbidde...,09-07-2022,132973,,
Pandala Haiku: Nolifis,09-07-2022,388872,,
Pandala Haiku: Plantala,09-07-2022,119999,,
Pandala Haiku: Terrdala,09-07-2022,249999,,
Pandala Rain,09-07-2022,13398,,
Pandkin Seed,09-07-2022,999,1198,4499
Panthyrozy's Perfume,09-07-2022,255426,,
Paper Haiku: Chtiger,09-07-2022,99000,,
Paper Haiku: Froog,09-07-2022,9997,,
Paper Haiku: Pig,09-07-2022,48997,,
Paper Haiku: Qilin,09-07-2022,8996,,
Paper Haiku: Swane,09-07-2022,865,,
Paper Petal,09-07-2022,4999,51697,
Paper Tulip,09-07-2022,899,,39946
Parashutackle Glasses,09-07-2022,122,1229,12496
Particle Board,09-07-2022,50,300,3999
Passaoh Bulb,09-07-2022,287,2484,15997
Passaoh Coral,09-07-2022,7,236,4966
Passaoh Petal,09-07-2022,378,1385,10884
Pastry Board,09-07-2022,3289,24999,
Pathogerm Skin,09-07-2022,7900,78000,699997
Patrich Glands,09-07-2022,3000,25988,499999
Payo,09-07-2022,14993,,
Pazpartu Key Fragment,09-07-2022,540,5495,58953
Peawly Mowning Key Fra ...,09-07-2022,1554,9989,
Peeled Potatoes,09-07-2022,163,1655,24997
Penitent,09-07-2022,665496,,
Pepper Measure,09-07-2022,399,897,6664
Perch,09-07-2022,68,750,4197
Persaport Cord,09-07-2022,30,322,4498
Petrified Ecaflee Larva,09-07-2022,6989,64995,599999
Petunia,09-07-2022,95000,,
Piece of Badoul's Treasure,09-07-2022,33,4800,55980
Piece of Claw's Jigsaw,09-07-2022,99,1273,49973
Piece of Coco Blop,09-07-2022,144,1496,15975
Piece of Indigo Blop,09-07-2022,189,1917,
Piece of Micrab Armour,09-07-2022,9994,98494,969999
Piece of Morello Cherry Blof,09-07-2022,88,1096,9577
Piece of Pippin Blop,09-07-2022,200,2190,18975
Piglet Leather,09-07-2022,19,390,5850
Piglet Leather Briefs,09-07-2022,399,4993,68788
Piglet Milk,09-07-2022,1685,13996,139948
Pignolia Leather,09-07-2022,137,1393,19994
Pignolia Milk,09-07-2022,1117,18998,111111
Pigzebub Snout,09-07-2022,37999,334996,3999999
Pike,09-07-2022,,299,
Pikmi,09-07-2022,788,,
Pingwin Key,09-07-2022,10885,110438,
Pingwinkle Feather,09-07-2022,39,400,4158
Pingwobble Skin,09-07-2022,90,1800,6983
Pingwobble Wing,09-07-2022,1397,12297,197987
Pink Piwi Feather,09-07-2022,60,300,3195
Pipistracker Nose,09-07-2022,3175,28614,288881
Pippin Blop Flower,09-07-2022,298,2549,28867
Pippin Key Fragment,09-07-2022,695,,
Pippin Koalak Hair,09-07-2022,1194,10995,119994
Piralak Skin,09-07-2022,1797,22000,
Pirate's Cute Shorts,09-07-2022,90,998,28991
Pistilick Tongue,09-07-2022,7999,99942,
Plain Boar Snout,09-07-2022,140,2299,39998
Plain Boar Tail,09-07-2022,40,299,4954
Plain Pikoko Nut,09-07-2022,2549,25998,399972
Plain Pikoko Wing,09-07-2022,598,7642,78852
Plains Larva Skin,09-07-2022,193,1200,7798
Plissken Venom,09-07-2022,289,2500,9855
Plisskenskin,09-07-2022,584,4382,29921
Plywood Board,09-07-2022,115,750,8994
Podgy Tofu Leg,09-07-2022,343,9998,179999
Podploder Hat,09-07-2022,3484,64870,
Pointed Crowfox Feather,09-07-2022,336,3990,55980
Pointed Stone Fragment,09-07-2022,416,4873,42732
Polished Ball,09-07-2022,46,3553,24887
Polished Brain Fragment,09-07-2022,200,1887,24997
Polished Stone Fragment,09-07-2022,498,4796,23108
Polished Stone Heart,09-07-2022,64,8797,99992
Poppy Seed,09-07-2022,185,1650,2996
Potatoes,09-07-2022,400,3300,23000
Potbellion Blood,09-07-2022,1877,11893,170000
Potion of Old Age,09-07-2022,992,5800,67998
Pouncer Fur,09-07-2022,15989,159800,
Praying Mint,09-07-2022,9894,,
Precious Moustache,09-07-2022,19,232,2399
Precious Zoth Stone,09-07-2022,8997,88888,1000000
Prent's Nasal Fluid,09-07-2022,19000,,
Prepubescent Boostache ...,09-07-2022,300,1888,9996
Prepubescent Boostache ...,09-07-2022,737,7999,
Prespic Tail,09-07-2022,35,295,2797
Primary Forest Substrate,09-07-2022,1400,10000,199993
Primitive Chafer Helmet,09-07-2022,9,129,
Prince Djamal Brecht's Cti ...,09-07-2022,13998,,
Prize Fin,09-07-2022,194,2399,99995
Protective Gloves,09-07-2022,56989,,
Protective Mask,09-07-2022,43890,,
Protoz'orror Nucleus,09-07-2022,34776,293997,
Proxima,09-07-2022,2500,,
Psychlo Beard,09-07-2022,291,4624,47999
Psychlo Sock,09-07-2022,3072,45432,
Purple Mégabwork Leather,09-07-2022,2200,25959,299994
Purple Piwi Feather,09-07-2022,20,378,4500
Purple Warko Used Nappy,09-07-2022,1695,18640,169998
Putchup Brain,09-07-2022,2993,29000,
Putchup Leather,09-07-2022,1978,18992,199990
Pythag Orchid,09-07-2022,9000,,
Quality Rum,09-07-2022,799,8493,89994
Queen Amirukam Diacritic,09-07-2022,16965,143904,
Queen's Belt,09-07-2022,903,6883,66875
Quetsnakiatl Feather,09-07-2022,146,1487,15498
Quetsnakiatl Stone,09-07-2022,190,2696,49984
Quixote Swordfish,09-07-2022,1749983,,
Rac Globule,09-07-2022,5497,72099,
Rampant Bearbarian Lea ...,09-07-2022,4998,54878,550000
Rampant Bearbarian Wool,09-07-2022,1220,30499,300000
Rancid Carrion,09-07-2022,9998,,
Rancid Meat,09-07-2022,1199,4892,17883
Raspberry,09-07-2022,99999,,
Rat Lly's Old Book,09-07-2022,290,2753,28095
Rat Shio Pustule,09-07-2022,690,8476,87499
Rat Skin,09-07-2022,2598,26432,263997
Ratter Pill,09-07-2022,1897,,
Ratter Tail,09-07-2022,2420,33775,
Raul Mops Skin,09-07-2022,635,5459,59988
Raw Mother of Pearl,09-07-2022,120,2186,24295
Red Boxers,09-07-2022,1400,,
Red Ghoulobule,09-07-2022,5944,61995,
Red Mage Metaria,09-07-2022,6878,49999,550000
Red Metaria,09-07-2022,280,4993,
Red Piwi Feather,09-07-2022,84,598,8000
Red Scaraleaf Antennae,09-07-2022,144,1249,28996
Red Scaraleaf Wings,09-07-2022,44,225,2293
Red Spimush Gill,09-07-2022,279,1989,22986
Red Triam Metaria,09-07-2022,900,,
Redolph Pattern,09-07-2022,68994,684900,
Redolph's Red Nose,09-07-2022,1350,,
Relentliss Tongue,09-07-2022,3957,38994,
Reptilian Sword Fragment,09-07-2022,144,1998,
Rescue Board,09-07-2022,11970,104999,1198000
Resin,09-07-2022,,789,8700
Retspan Pirate Mast,09-07-2022,700,6999,97994
Revish Moustache,09-07-2022,2880,43799,
Rhythmic Wand,09-07-2022,22986,298998,
Rice Qil,09-07-2022,2997,7496,49999
Roachelf's Antennae,09-07-2022,900,6999,
Robionicle Claw,09-07-2022,640,4679,50999
Robo Mace's Chain,09-07-2022,645,2990,69970
Robo Mace's Mace,09-07-2022,89,2492,54897
Rocha,09-07-2022,249999,,
Rock Eel,09-07-2022,124999,,
Rock Pandawushu Artefact,09-07-2022,1400,14111,147878
Rockai,09-07-2022,2899,59984,
Rokoram Circumflex Care...,09-07-2022,14888,152540,
Rokrusher Leggings,09-07-2022,11239,122983,1199999
Rose of the Sands,09-07-2022,85,944,1900
Rotaflor Carpel,09-07-2022,216,2373,17880
Rotten Carrion,09-07-2022,2679,,
Rotten Dolid Skin,09-07-2022,15630,99996,
Rotten Meat,09-07-2022,148,1662,12992
Royal Blop Leaf,09-07-2022,889,10900,127993
Royal Bluish Jelly,09-07-2022,798,9995,98509
Royal Coco Blop Flower,09-07-2022,989,,
Royal Gobball Leather,09-07-2022,40,350,10000
Royal Gobball Wool,09-07-2022,898,28999,
Royal Indigo Blop Flower,09-07-2022,3269,,
Royal Lemon Jelly,09-07-2022,2795,28748,
Royal Mastogob Tail,09-07-2022,6890,,
Royal Mastogob Wool,09-07-2022,1732,21440,
Royal Mastogob's Greenh ...,09-07-2022,8773,99988,500000
Royal Mint Jelly,09-07-2022,992,13700,108965
Royal Morello Cherry Blo ...,09-07-2022,3369,,
Royal Pingwin Feather,09-07-2022,1221,9892,299998
Royal Pippin Blop Flower,09-07-2022,1794,,
Royal Rainbow Blop Flower,09-07-2022,3473,35000,
Royal Rainbow Blop Lair ...,09-07-2022,5449,70998,
Royal Rainbow Blop Leaf,09-07-2022,260,2097,47899
Royal Sea Bream,09-07-2022,138000,,
Rovyal Strawberry Jelly,09-07-2022,440,,68887
Royal Tofu Feather,09-07-2022,1100,3797,
Ruby,09-07-2022,8467,88888,880000
Ruby Larva Skin,09-07-2022,1291,,95993
Ruby Stone,09-07-2022,381,5308,57899
Ruby's Reminder,09-07-2022,1985,,166666
Rustic Implants Diagram,09-07-2022,48998,,
Rusty Hook,09-07-2022,865,8620,89997
Sabredon Hair,09-07-2022,389,2549,12322
Sag Mask,09-07-2022,23297,,
Sage,09-07-2022,378,545,2692
Saguaro Whiskers,09-07-2022,754,7885,134998
Sailor Knot,09-07-2022,698,14986,104996
Sak,09-07-2022,199999,,
Sakai Mine Key,09-07-2022,10000,,
Sakai Nugget Fragment,09-07-2022,497,4600,54994
Salikronia,09-07-2022,1178,6686,72871
Salt Measure,09-07-2022,409,878,8888
Samurai Haiku: Autumn,09-07-2022,79932,,
Samurai Haiku: New Year,09-07-2022,555544,,
Samurai Haiku: Spring,09-07-2022,111880,,
Samurai Haiku: Summer,09-07-2022,99494,,
Samurai Haiku: Winter,09-07-2022,599781,,
Sandy Castle Key,09-07-2022,48,299,
Sapphira's Hairpin,09-07-2022,253,,29887
Sapphira's Kaliptus Sharmr ...,09-07-2022,2336,24589,
Sapphire,09-07-2022,24394,257985,
Sapphire Larva Skin,09-07-2022,372,4488,37881
Sapphire Stone,09-07-2022,1555,19847,
Sarbak Voodoo Doll,09-07-2022,149,1332,
Sauroshell Shell,09-07-2022,59999,749999,
Scalding Poison,09-07-2022,19000,239997,
Scale of Endurance Fragr ...,09-07-2022,449709,,
Scampihorse's Recharges ...,09-07-2022,43977,,
Scaraleaf Dungeon Key,09-07-2022,935,13500,132100
Scaraleaf Entrails,09-07-2022,228,2400,25854
Scarecro Tongue,09-07-2022,64,640,23885
Scoliopode Leg,09-07-2022,2699,28998,
Scordion Tail,09-07-2022,197,2197,13981
Scrawny Bwak,09-07-2022,1300,,
Scurvion Blood,09-07-2022,152,1249,15887
Scurvion Entrails,09-07-2022,51,594,4987
Scurvion Leg,09-07-2022,1,385,3787
Scurvion Seed,09-07-2022,599,5544,27970
Scurvion Tail,09-07-2022,332,2399,12184
Seasonal Pebble,09-07-2022,4495,28947,278993
Second Air Fragment,09-07-2022,109999,,
Second Earth Fragment,09-07-2022,569999,,
Second Fire Fragment,09-07-2022,889970,,
Second Part of the Draqgc...,09-07-2022,11,55,10275
Second Sphincter Dunge...,09-07-2022,44,1396,
Second Water Fragment,09-07-2022,538999,,
Secret Royal Tofu House ...,09-07-2022,3554,,
Seed of Contention,09-07-2022,245,2391,14775
Segmantid Pixel,09-07-2022,,7896,78999
Selenite Stone,09-07-2022,8792,88857,
Sepiolite,09-07-2022,2096,13974,147951
Serpula Flake,09-07-2022,6679,63792,598975
Serpula Peduncle,09-07-2022,1880,27989,
Serpulax Peduncle,09-07-2022,4795,37799,
Serpulax Volva,09-07-2022,19878,221119,
Servitude's Lock,09-07-2022,108949,999670,
Sesame Qil,09-07-2022,100,1000,15995
Sesame Seed,09-07-2022,5,28,
Sethen Beard,09-07-2022,146,1250,17995
Severed Demonic Rose,09-07-2022,53,,
Sewer Arachnee Leg,09-07-2022,50,2394,27798
Sewer Keeper Leg,09-07-2022,395,2109,
Shackles of Tyranny Key,09-07-2022,70000,,
Shadow's Pyramid Key,09-07-2022,12998,,
Shaman Pingwin Beard Hail,09-07-2022,486,5798,55884
Shape-Shifting Dragoss S ...,09-07-2022,2382,22885,198999
Sharcut Tongue,09-07-2022,2386,20595,328996
Shell Pedestal,09-07-2022,8633,,
Sherpere Helmet,09-07-2022,238,1894,
Shihan Hair Stick,09-07-2022,7997,98450,
Shin Larva Skin,09-07-2022,500,2500,
Shinlam Semi-Clouton,09-07-2022,7888,74886,
Shinobuubusu Mask,09-07-2022,343,3000,
Shiny Sardine,09-07-2022,35,1466,2496
Shogun Tofugawa's Mous ...,09-07-2022,14289,150000,
Shogqun Tofugawa's Tomit ...,09-07-2022,10985,99997,
Short-Tempered Arachno...,09-07-2022,324,2897,
Short-Tempered Dark Tre...,09-07-2022,1748,24996,
Short-Tempered Treechn....,09-07-2022,774,7994,
Short-Tempered Treechn- ...,09-07-2022,1895,18492,159997
Shredded Drakoalak Hea ...,09-07-2022,19694,,
Shrubstrate,09-07-2022,676,5010,48837
Sick Arachnee Hairs,09-07-2022,788,7550,76599
Sickle-Hammerhead Shark,09-07-2022,249,1196,5792
Sickly Skin,09-07-2022,50,1000,17391
Siktrin Bass,09-07-2022,52981,,
Silicate,09-07-2022,968,9698,96949
Silk String,09-07-2022,84,1088,12879
Silkworm Cocoon,09-07-2022,891,9000,108949
Silver,09-07-2022,998,9559,43980
Silyrus Moustache,09-07-2022,18983,189929,
Sinistrofu Tail,09-07-2022,19992,199992,
Sinistrofu Wing,09-07-2022,3345,37793,379998
Skateman Brain,09-07-2022,2094,56900,
Skeleton Black Wabbit H....,09-07-2022,287,3989,38882
Skeleton Dungeon Key,09-07-2022,1299,,
Skentu Hood,09-07-2022,2129,25985,
Skeunk Hair,09-07-2022,390,1300,
Skeunk Skin,09-07-2022,29657,437100,
Skeunk's Hideout Key,09-07-2022,4986,,
Skt-Zo Leg,09-07-2022,11697,116988,
Skull and Crossbones,09-07-2022,387,3988,34897
Slab,09-07-2022,59999,699999,
Slate Dragoss Scale,09-07-2022,88,1000,17591
Slate Dragoss Shell,09-07-2022,789,788,19988
Slate Dreggon Shell,09-07-2022,360,3297,29884
Slave Necklace,09-07-2022,11000,135000,1499999
Slimy Scale,09-07-2022,11,80,2800
Slimy Silk,09-07-2022,389,2399,
Small Golden Pearl,09-07-2022,643,2500,
Small Sandy Carp,09-07-2022,18999,,
Smashlete Pixel,09-07-2022,1500,14971,
Smiths' Chest Lock,09-07-2022,695,5399,
Snailmet Shell,09-07-2022,1110,17990,177777
Snailmet Slobber,09-07-2022,4395,44425,459855
Snapper Ol,09-07-2022,9994,29996,280000
Sneerena Golden Eyelid,09-07-2022,2120,18423,179959
Snow Star,09-07-2022,799000,,
Snowdew Bract,09-07-2022,16940,177770,
Snowdew Sepal,09-07-2022,2799,43660,
Snowdrop,09-07-2022,400,3995,19964
Snowflake,09-07-2022,2386,12499,49500
Snowfoux Den Key,09-07-2022,12998,159998,
Snowfoux Tear,09-07-2022,6584,44949,815000
Soft Oak Amber,09-07-2022,3595,59998,
Soft Oak Clearing Key,09-07-2022,3000,,
Soft Oak Root,09-07-2022,2391,11896,
Solar Pebble,09-07-2022,11994,88999,
Solar's Brain,09-07-2022,28754,238582,
Solfatara Residue,09-07-2022,4191,52220,398997
Soryo Snowfoux Paw,09-07-2022,1597,16995,140000
Spanner Stilt,09-07-2022,899,9992,99928
Sparkling Pebble,09-07-2022,216970,2449700,
Sparo's Scarf,09-07-2022,395,3998,98999
Spectral Flame,09-07-2022,175,2103,21107
Sphincter Cell Skin,09-07-2022,399,1779,25996
Spices,09-07-2022,230,2300,23000
Spirigneous Remains,09-07-2022,4498,43219,479899
Spirit Abode Key,09-07-2022,21649,316456,
Spiritabby Tail,09-07-2022,18,245,3990
Spitfoux Skin,09-07-2022,1500,13992,149998
Spoiled Carrion,09-07-2022,10497,102997,
Spoiled Meat,09-07-2022,2296,23990,299992
Sponge Mob Skin,09-07-2022,88,945,15000
Spykbal Ball,09-07-2022,2,69,1500
Squashed Arachnee,09-07-2022,4894,64997,
Squashed Short-Tempere ...,09-07-2022,1799,19999,169999
Stabba Tail,09-07-2022,2547,31889,
Stale Carrion,09-07-2022,6400,,
Stale Meat,09-07-2022,499,4818,49442
Starfish Eyelid,09-07-2022,188,1694,25898
Starfish Tongue,09-07-2022,198,2980,38899
Staruman Eyebrow,09-07-2022,,3999,42894
Starven Tongue,09-07-2022,1187,8987,
Steam Crackler Heart,09-07-2022,2496,31885,379998
Steamopump,09-07-2022,9498,,
Stellia's Panties,09-07-2022,49984,,
Sterile Sail,09-07-2022,7789,79932,
Still Water,09-07-2022,10,89,3319
Strange Ore,09-07-2022,186,3787,38796
Strawberry,09-07-2022,192,1995,4993
Strawberry Jelly,09-07-2022,300,2774,29879
Strawberry Rabmajoke #1,09-07-2022,347,,
Strawberry Rabmajoke #2,09-07-2022,963,,
Strawberry Rabmajoke #3,09-07-2022,399,,
Strawberry Rabmajoke #4,09-07-2022,414,,
Strawberry Rabmajoke #5,09-07-2022,649,,
Strawberry Rabmajoke #6,09-07-2022,475,,
Strawberry Rabmajoke #7,09-07-2022,455,,
Strawberry Rabmajoke #8,09-07-2022,450,,
Stretch Leg,09-07-2022,494,9000,296997
Stretch Wing,09-07-2022,12995,157991,1899999
Stricheetru Fluff,09-07-2022,299,3650,36992
Strongboxer Part,09-07-2022,6896,44982,439994
Strubian Milirat Slices,09-07-2022,95,2398,19997
Strubian Raeman Wool,09-07-2022,244,2496,33819
Strubian Sickrat Leather,09-07-2022,1189,12437,144000
Strubian Sickrat Mane,09-07-2022,7,200,4399
Stunted Rat Paw,09-07-2022,300,1884,17885
Submerged Ones' Shell,09-07-2022,6995,74995,
Sucgunner Aquarachnee,09-07-2022,9997,93986,
Sulphur Pouch,09-07-2022,2182,20996,
Summoning Branch Finger,09-07-2022,205,3994,
Sunflower Seed,09-07-2022,888,19899,139398
Suntan Lotion,09-07-2022,99,1497,
Surf Board,09-07-2022,695,5900,29990
Suspicious Pouch,09-07-2022,8,1,
Suspicious Wrapper,09-07-2022,79,800,
Swordfish,09-07-2022,,1447,12965
Sylargh's Carrier Key,09-07-2022,27658,,
Sylargh's Wool,09-07-2022,17780,113998,
Sylvan Seal,09-07-2022,24000,,
Sylvan Substrate,09-07-2022,22500,239689,
Synthetic Leather,09-07-2022,38999,,
Synthetic Root,09-07-2022,96999,,
Tal Kasha Hair,09-07-2022,12949,119479,
Talklyka Pirate Rope,09-07-2022,492,30000,
Tam Voodoo Doll,09-07-2022,7,199,
Tamed Crobak Feather,09-07-2022,476,499,7186
Tankanvil Armour,09-07-2022,877,8675,89999
Tanukoui San Testicles,09-07-2022,796,4899,
Tanukoui San's Workshor ...,09-07-2022,2661,26997,
Tasty Carrion,09-07-2022,1449984,,
Tasty Meat,09-07-2022,376,3580,35481
Tatatojiki's Broken Pottery,09-07-2022,37,394,9998
Tattered Bwork Boot,09-07-2022,1045,7499,78979
Teleb,09-07-2022,97905,,
Temperaumaturge Cauldron,09-07-2022,5780,59441,
Temple of the Great Ougqg ...,09-07-2022,3374,,
Temporal Powder,09-07-2022,245,448,7695
Temporal Shard,09-07-2022,5799,99972,
Tench,09-07-2022,333,1139,9779
Tender Carrion,09-07-2022,1863,,
Tender Meat,09-07-2022,99,580,3876
Tengu Snowfoux Leather,09-07-2022,8795,87000,
Tengu Snowfoux Wool,09-07-2022,15000,149998,
Tentaclobber Tentacle,09-07-2022,9999,108929,1399994
The Queen of Thieves' En ...,09-07-2022,22993,178996,
Thermite Leg,09-07-2022,486,3985,
Thicket Substrate,09-07-2022,2488,13999,126998
Thierry Voodoo Doll,09-07-2022,1897,2000,19986
Third Air Fragment,09-07-2022,619985,,
Third Earth Fragment,09-07-2022,649996,,
Third Fire Fragment,09-07-2022,988995,,
Third Water Fragment,09-07-2022,899907,,
Thirtree Loincloth,09-07-2022,107,1000,16999
Ticket to the Isle O'Anstitch,09-07-2022,447,8886,95499
Tigerfish,09-07-2022,19955,,
Tikokoko Leaf,09-07-2022,795,10776,80000
Timber Substrate,09-07-2022,1391,12386,97492
Time Loop,09-07-2022,179485,,
Timeless Loop,09-07-2022,199000,4500000,
Tin,09-07-2022,932,3798,39993
Tinkerbear Tail,09-07-2022,3613,38999,
Titinuki Wand,09-07-2022,33,670,
Tiwabbit Whiskers,09-07-2022,80,678,6500
Tiwabbit Wosungwee Br: ...,09-07-2022,78,390,3900
Tiwabbit Wosungwee To! ...,09-07-2022,112,1294,12796
Tiwobot Goggles,09-07-2022,11998,113998,
Tofoone Fluff,09-07-2022,98,1988,18398
Tofu Feather,09-07-2022,1590,14996,122996
Tofu House Key,09-07-2022,434,4000,
Tofubine Feather,09-07-2022,598,7997,147998
Tofukaz Foot,09-07-2022,250,4496,28555
Tofukaz Stomach,09-07-2022,85,1399,8645
Tofurby Stomach,09-07-2022,275,6246,
Tofuzmo Feather Duster,09-07-2022,400,9570,99658
Tofuzmo Rump,09-07-2022,485,4999,41999
Topaz,09-07-2022,2348,18492,168990
Topaz Stone,09-07-2022,128,1280,23000
Torpid Bearbarian Hair,09-07-2022,339,3494,38698
Torreflayer Skin,09-07-2022,2798,33663,
Tortryck Epaulette,09-07-2022,9993,129989,1599999
Totankama's Tablet Frag ...,09-07-2022,118978,,
Totankama's Tablet Fraqg ...,09-07-2022,146930,,
Totankama's Tablet Fraqg ...,09-07-2022,89947,,
Totankama's Tablet Fraqg ...,09-07-2022,60000,,
Totankama's Tablet Frag ...,09-07-2022,139999,,
Tourmaline,09-07-2022,7986,69993,689993
Toxoliath Blood,09-07-2022,3984,27665,
Translucent Petal,09-07-2022,55,300,9995
Traumatised Rokokonut,09-07-2022,173,1882,15972
Trechepeira Venom,09-07-2022,466,6498,66000
Tree of Death Key,09-07-2022,149999,,
Treecherous Root,09-07-2022,5178,47998,
Treechnee Hair,09-07-2022,38,430,6989
Treechnid Amber,09-07-2022,195,2489,18799
Treechnid Root,09-07-2022,60,880,9969
Tremrus Skin,09-07-2022,4763,,
Tri Pandkin,09-07-2022,12960,,
Tritun Skin,09-07-2022,3573,38989,
Troofle,09-07-2022,198,1354,18999
Trool Bracelet of Strength,09-07-2022,74997,770999,
Trool Fair Snow Globe,09-07-2022,49,,
Troolaraj Briefs,09-07-2022,191,1110,49999
Troolaraj Mane,09-07-2022,789,19445,111111
Troolewd Hair,09-07-2022,493,4825,44299
Trooligark Epaulette,09-07-2022,500,8995,99998
Trout,09-07-2022,19,179,989
Trubout Feather,09-07-2022,468,4398,45991
Trubout Mite,09-07-2022,483,5495,54957
Trumperelle Trunk,09-07-2022,9894,79997,
Trunkiblop Root,09-07-2022,12,139,1999
Trunknid Eyebrows,09-07-2022,319,3880,39799
Trunknid Wood,09-07-2022,1789,18873,199899
Tsunam Ellipsis,09-07-2022,2999,29960,
Tuft of Ruby's Hair,09-07-2022,475,8853,33999
Tuft of Siks-T Hair,09-07-2022,48,699,9999
Tuft of White Hair,09-07-2022,128,2985,28999
Tupe-Halett Pike,09-07-2022,17447,,
Turtelonia's Sanctuary Key,09-07-2022,134880,,
Turtelonia's Scale,09-07-2022,46569,424985,
Turtle Milk,09-07-2022,245,1555,11764
Twansgenic Cawwot,09-07-2022,494,3971,31499
Twentoo Skin,09-07-2022,89,850,8888
Two Kingdoms Haiku: Blc...,09-07-2022,21995,,
Two Kingdoms Haiku: Fe ...,09-07-2022,8998,,
Two Kingdoms Haiku: He ...,09-07-2022,16899,,
Two Kingdoms Haiku: Pa: ...,09-07-2022,23331,,
Two Kingdoms Haiku: Sleep,09-07-2022,17997,,
Tynril Amber,09-07-2022,3899,44900,550000
Tynril Calyx,09-07-2022,7787,67777,469989
Tynril Lab Key,09-07-2022,400,9997,
Tynril Pistil,09-07-2022,2773,2089,29999
Typhomet Horn,09-07-2022,6376,58758,705000
Uchiwang Ribbon,09-07-2022,295,1990,36900
Ugly Tofu Tuft,09-07-2022,425,4955,49999
Ultram,09-07-2022,689999,,
Undergrowth Substrate,09-07-2022,3291,25998,339999
Unique Kralove,09-07-2022,36997,,
Used Bwork Protection,09-07-2022,7996,69999,
Ush's Moustache,09-07-2022,7898,77000,
Ush's Plateau Key,09-07-2022,19743,249995,
Valley of the Lady of the ...,09-07-2022,1109,19996,
Vampire Blood,09-07-2022,49,696,9994
Vampire Straw,09-07-2022,380,6390,59999
Vampiric Liquid,09-07-2022,744,,
Venerable Ashes,09-07-2022,10000,124997,
Venerable Mastogob Tail,09-07-2022,72,1868,66794
Venerable Mastogob Wool,09-07-2022,982,9500,99987
Venerable Mud,09-07-2022,18000,,
Venerable Powder,09-07-2022,1597,16799,
Venerable Puddle,09-07-2022,3400,33000,
Venerable Smoke,09-07-2022,6600,64998,
Venerable Treechnid Root,09-07-2022,397,3997,10989
Vengeance Mask,09-07-2022,3863,29897,
Venomica Wool,09-07-2022,5497,57794,
Venomous Brockhard Tail,09-07-2022,2497,43700,240000
Vespal Bearbarian Antenna,09-07-2022,310,3083,31497
Vespal Bearbarian Wings,09-07-2022,1399,20499,209999
Vetauran Hair,09-07-2022,889,6989,44769
Vetauran Tin,09-07-2022,15,224,
Vibrating Royal Tofu Fea' ...,09-07-2022,899,14998,
Vice Mask,09-07-2022,554,4367,43000
Vigilante Insignia,09-07-2022,17993,,
Vilinsekt Antennae,09-07-2022,17,20,1000
Violence Mask,09-07-2022,4644,44496,
Virgin Forest Substrate,09-07-2022,2885,19965,199991
